,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F13,F14,F15,F16,F17,F18,F19,F20,F21,F23,F24,F26,F28,F29,F30,F36,F38
CLIP2,23.210976,26.318432,26.297953,25.90708,25.519808,25.323055,25.03338,24.81103,26.716574,25.458939,25.903826,25.711403,26.509035,25.00268,24.113869,22.95938,25.43666,24.127434,25.51852,21.716452,27.980618,25.985723,26.065315,25.316488,24.600729,25.64049,26.261799,25.892996
CSPG4,20.637949,24.458101,25.096182,27.421726,26.39552,24.171516,26.999035,25.83732,25.418705,27.101908,26.371552,24.438202,24.317366,26.689966,21.980177,22.40289,24.780153,23.28418,25.908855,20.274515,25.480839,21.571657,24.67195,24.053919,25.936193,25.239386,24.861834,23.661932
IQGAP1,25.726986,25.470083,24.679749,25.586536,24.765455,24.966433,25.45244,25.006517,25.707214,25.513594,24.803202,25.464682,25.575045,25.32831,24.527002,23.700089,24.762346,26.665243,25.485302,25.005415,25.173807,24.993534,25.091955,25.180687,24.949913,23.914219,25.184353,24.721434
HNRNPA1,27.217377,26.769024,27.997871,27.785583,27.547018,26.474716,26.808552,26.574379,26.569393,27.328253,26.758408,27.489902,26.511625,27.011808,26.385492,23.938944,26.706972,25.412527,26.986517,25.266855,27.918488,26.31763,26.751762,25.501022,25.9215,25.892927,27.597538,26.566463
HSPD1,28.087442,26.909182,26.95407,27.211914,27.664057,25.893604,26.31957,26.887005,26.662418,26.35054,27.333061,26.82065,26.386492,26.266502,26.81636,25.326502,26.985064,27.089998,27.441484,26.800047,26.569895,26.32193,26.29494,25.61898,26.506012,26.41608,27.08295,25.796473
FGB,27.476006,26.319065,26.508944,24.843065,25.129395,25.081688,24.381372,23.864283,24.125141,24.300413,23.960474,26.690447,26.101162,24.81803,29.831158,26.412683,26.863754,25.704592,25.410048,26.370016,26.980028,26.943499,28.226377,26.494467,30.006382,27.056376,28.780056,24.919138
DHX9,26.963272,25.744371,26.435997,27.089571,27.023003,25.38725,26.74848,25.815279,25.911428,26.592701,25.722788,26.477343,26.236929,26.986786,25.64975,24.276302,26.288134,25.714657,26.800003,24.447702,26.288528,25.806091,25.468954,24.830364,25.0072,25.22564,26.268066,24.868895
ANXA1,26.939228,28.002,27.548084,28.038567,27.139866,27.424011,27.336245,26.510447,27.489824,27.354092,26.118048,26.835281,27.370045,27.011494,25.637985,27.224525,26.335276,27.728186,26.166851,26.902407,26.78085,28.83558,28.332262,28.08201,25.370064,26.058386,26.19244,26.725124
ALDOC,25.306383,27.740974,26.623766,27.568495,28.349337,27.845623,27.244911,28.227154,27.549454,27.35282,29.032084,26.950186,26.902225,27.229382,27.20127,27.471191,26.928984,26.57182,28.394854,26.426884,24.66664,25.80194,27.023733,27.189632,29.29761,27.478151,27.008682,27.658676
TUBA8,20.181013,19.971157,19.932423,20.246922,20.370558,19.2911,19.534142,19.240753,19.540688,19.678087,19.779482,19.403395,19.171516,19.39693,17.737715,18.233255,19.602034,19.418852,19.59591,18.861895,19.795122,13.548291,21.486034,19.781147,18.883783,21.561035,19.668398,22.6539
CCT2,25.830322,25.376291,26.093575,26.525618,26.406618,24.880672,25.872747,25.785791,25.281612,26.02117,26.04217,25.884565,25.080582,25.934021,25.891724,24.410877,26.126144,25.1889,26.245121,24.28997,26.456612,25.608774,26.039148,25.370749,25.591295,25.924038,26.28067,26.222664
nan,21.462866,21.441877,21.944674,25.279911,24.465954,22.082783,21.64825,20.696127,23.729548,21.17819,23.83512,23.017971,22.643742,22.483519,20.903763,20.154642,20.01618,19.528715,21.436617,17.185402,20.98,20.037094,24.798273,21.511042,21.409925,22.357403,20.940042,23.50395
MACF1,21.969816,23.252209,23.848131,23.963224,24.190504,23.285051,24.025951,23.9659,24.581705,24.366497,24.532064,24.46938,24.387451,24.596289,24.124681,22.129416,24.32378,23.853569,24.95404,22.672522,24.861353,23.619577,24.403143,23.895483,23.184874,24.228779,25.341507,24.73898
C4B,24.22305,24.70199,26.124226,25.692232,25.187122,24.603533,25.451616,24.76746,24.873146,25.36308,24.768854,25.747812,24.97707,25.544916,25.966572,23.700512,25.899942,24.604025,25.029602,23.492422,25.575573,25.56774,24.887825,25.03627,25.69337,25.376823,24.712904,24.780352
ATP5A1,28.576773,27.898924,27.55213,28.217678,28.306446,27.40995,27.758863,27.750042,27.983355,27.410519,27.707703,27.109858,27.888453,27.592552,27.143654,27.224169,27.904018,28.225773,27.84792,28.062325,26.908857,27.095882,27.398365,26.334162,27.510813,27.901104,27.6704,27.636574
FGA,27.785395,26.717733,27.175653,25.852955,26.087732,25.545975,24.377586,24.349194,24.558018,25.072187,24.53628,26.70227,26.471672,25.598967,29.452291,26.119938,27.016094,26.758835,25.736343,27.871784,26.731289,27.088892,27.987913,26.359528,30.386677,27.216558,28.741365,25.330784
KHSRP,25.265263,25.79462,25.780731,27.680946,27.227404,25.239445,26.9356,25.862757,25.335571,26.844324,26.47286,25.744427,25.451244,27.006227,25.272175,23.127323,25.709354,24.626593,26.792238,23.73097,26.300892,24.448149,24.3085,24.654995,24.658924,24.48611,24.823242,24.759283
HNRNPK,27.694597,27.312616,27.907486,28.370373,28.278534,27.019188,27.984684,27.04106,27.155226,27.756401,27.189503,27.7611,27.265339,27.974098,26.84831,25.37952,27.462315,26.977648,27.962969,26.372864,27.996496,26.936977,26.681398,26.575493,26.275257,26.683643,27.582338,26.426596
LAMB2,23.880224,26.378942,24.279783,26.453152,25.465687,25.339853,26.256714,23.518589,26.787418,26.544844,23.481655,24.634,26.195341,26.024714,25.01713,25.768074,24.03137,24.77152,24.810747,25.061825,25.892696,23.772375,23.718584,24.47338,26.409058,21.479055,24.007269,23.759014
HNRNPU,26.74951,25.84733,26.809362,27.162992,27.240788,25.506277,26.930868,26.36313,25.880756,26.86543,26.14462,26.628035,25.790827,26.786509,25.971588,24.00122,26.267525,25.35004,26.684143,24.538195,26.758707,25.541702,25.414219,24.587217,24.758808,24.813732,26.389074,25.250214
NCAN,24.83117,26.015358,26.016172,28.460993,23.973202,25.725695,27.728313,22.899351,24.390093,27.587011,23.591724,25.418104,25.104418,27.447355,26.728136,24.774498,22.168919,22.402683,23.149456,22.518007,25.024141,23.498041,25.983433,26.412947,25.93268,26.825085,24.790438,26.07703
2023-09-02 00:00:00,24.248234,26.575663,26.41643,26.435738,27.004457,26.768135,26.099766,26.708744,26.574932,26.044807,26.830868,26.40746,26.567486,25.99646,26.540129,24.873182,25.918955,25.235544,27.12208,24.208921,26.766521,25.460512,26.242805,26.188643,25.58227,25.477417,26.465702,26.480568
MAP4,25.560415,26.455177,26.32042,26.247955,26.409718,26.085194,25.923273,25.6423,26.300774,26.106134,26.817186,26.299158,26.654,26.303167,25.672007,25.080883,25.876408,26.398218,26.353909,24.3069,26.69646,26.579166,25.736937,26.714224,26.043003,25.467896,25.768364,25.824825
TKT,27.413027,27.005888,26.717918,26.386497,26.719227,26.451752,26.22205,26.061277,26.543144,26.093866,26.40353,26.014782,26.478258,26.169558,26.065191,26.575302,26.405685,27.281534,26.251589,26.21097,27.034676,26.96366,27.065561,27.759274,26.716032,26.807653,27.092604,26.844206
ANK2,23.660925,25.034147,23.613045,24.531418,25.810375,24.565125,24.012753,25.398167,24.600525,23.829311,25.543613,24.10674,25.201868,24.096262,24.287506,25.143099,25.181412,24.221598,26.08232,21.750874,24.940708,24.708439,25.921158,25.486706,24.502459,26.453873,24.647324,27.067366
EZR,26.086462,26.376738,25.694304,26.531857,26.71574,25.518257,26.070427,26.119488,25.890875,26.367435,26.935762,25.562248,25.40444,25.779497,25.03622,25.919228,25.084993,24.467876,26.5014,24.654312,26.561403,26.262077,26.798513,26.217123,25.238695,25.107767,26.599985,25.771357
PDIA3,26.8007,25.841326,27.16684,27.183374,27.539679,25.375885,26.48313,26.654947,25.895048,26.471846,26.89794,27.046232,25.856802,26.564838,26.44751,25.966883,26.130297,27.059834,26.939182,26.475042,26.76117,26.253248,26.736012,26.047102,26.35453,26.118614,27.437311,26.43373
NEFM,23.70209,21.585728,22.517286,21.038244,20.259281,21.993088,20.393906,20.444666,21.97534,20.672132,20.258038,20.337698,20.788563,20.159018,26.65756,20.132206,25.996212,21.114126,18.88855,21.054598,21.804808,27.322483,27.35383,26.254858,22.958433,28.051476,25.164835,27.735832
CNP,25.267864,25.385267,25.619255,25.0196,25.603369,24.979557,24.666965,25.051191,25.503996,24.805788,25.635944,25.2526,25.693348,24.71191,27.530079,23.875877,28.02393,24.545431,25.981365,23.55605,26.528318,27.699516,29.139536,28.846008,25.641392,29.8295,26.536806,29.185377
TRIM28,25.068777,24.588877,25.47417,26.970905,25.793463,24.238422,26.466732,24.735468,24.69609,26.44812,24.733616,25.440348,25.171944,27.065308,24.744879,21.59335,25.140085,24.64298,25.956482,23.044615,25.548338,23.987722,24.50505,23.905594,24.01869,24.172573,25.313744,23.918715
RDX,23.24836,25.300856,25.595778,24.625149,25.807018,24.804598,24.783386,24.92011,25.328636,24.684526,25.87653,24.94967,25.406027,24.885658,24.660032,24.376202,25.671953,24.674726,25.626259,24.378006,25.973015,25.030693,25.93633,24.752047,24.345898,24.476225,25.539892,24.930279
HSPA9,27.246298,25.822844,26.404055,26.10695,26.741142,25.870804,26.169678,26.227804,26.378538,26.08601,26.776726,26.166277,25.863924,25.884201,26.223473,24.763315,26.378626,26.885706,26.766647,25.855547,25.807999,25.540516,25.731556,24.62735,25.99505,25.407469,26.72487,25.075974
SYNM,23.762226,25.62636,25.167109,22.773964,26.053091,24.52738,22.049965,25.172144,24.924057,23.03262,25.983015,25.021633,25.243662,22.18669,22.925573,26.205774,24.726707,25.252949,26.029247,24.527317,24.804234,25.73044,23.884024,23.478168,24.0012,24.073954,24.909199,25.204794
C4A,20.088617,17.703386,18.818981,18.034878,20.226677,19.157467,16.745144,14.782229,19.395706,19.534567,16.718466,19.249037,18.994804,19.224821,14.583318,18.079416,17.430119,19.268232,14.691362,18.767422,17.464352,17.26586,18.153967,18.907183,17.655956,18.330898,15.8518,16.044594
LMNB2,27.04138,26.239168,25.493776,26.880148,27.29444,25.568512,26.592594,26.173191,25.831972,26.715355,26.299046,25.055223,25.83499,26.563673,25.932022,25.108473,25.730783,25.656784,26.888779,24.220959,26.66437,26.834618,25.714943,25.64739,24.983595,25.532574,26.20805,25.539366
MATR3,26.128685,25.789322,26.2367,26.728086,26.696636,25.205477,25.936108,25.626549,25.41707,26.067896,25.456797,25.744354,24.960495,25.8813,24.826979,22.638777,25.638348,24.168724,26.11285,23.79126,26.579992,25.532187,25.183077,24.688255,24.641481,25.144808,26.000025,24.7962
EGFR,20.409948,26.230291,25.661951,25.591991,26.213612,26.329887,25.87991,26.245817,26.557364,25.41807,26.413883,25.640316,26.275776,25.645967,23.581179,21.417208,22.700428,19.93306,26.741516,25.937883,26.622704,21.763689,24.43339,22.964771,25.307991,20.871922,27.925062,27.980818
HIST1H4A,31.696833,30.335453,30.334347,30.543718,30.8053,30.556906,31.759684,30.414255,31.001225,31.678,31.159603,30.872633,31.07834,31.791582,30.725073,29.067154,31.521093,30.577597,32.0417,29.631485,31.165394,30.533018,30.446455,29.242857,29.749374,29.835918,31.624538,29.533022
STXBP1,24.33758,23.709126,24.753166,21.764357,22.616386,23.359789,23.422743,22.911722,24.388525,23.613989,24.342772,24.199236,24.260769,24.189205,24.745913,23.73036,27.523773,24.034302,23.93601,24.234776,23.926956,25.279303,28.365648,26.885925,25.195972,28.938736,26.1429,29.891045
NONO,26.265726,25.704239,26.490396,27.209766,27.16594,24.483622,25.736544,24.711937,24.776594,25.710062,25.325665,25.717968,25.353678,26.553188,25.049221,22.857409,25.01051,24.571138,26.120409,23.139036,26.814096,25.650608,25.674704,24.553928,24.601526,25.327675,26.576372,25.21218
GSN,25.049969,26.824642,26.744904,25.893816,27.869482,26.189117,25.492508,26.801378,26.26007,25.909472,27.367332,26.074413,26.257292,25.718517,26.691372,26.59782,26.132107,26.848171,27.146233,26.264542,26.533117,27.334526,27.284416,27.770748,25.916548,27.675705,26.465006,27.256157
LAMC1,23.616434,25.232193,24.767866,25.07592,24.937048,24.393309,25.613714,22.6144,25.891129,25.730307,23.052353,24.9897,25.674995,25.708303,25.575838,25.007627,23.283907,24.48019,24.66447,23.489786,26.170206,24.203844,24.22664,23.933514,26.607512,22.075901,25.143946,22.527222
TUFM,26.453953,26.284359,26.296274,26.708889,27.248453,25.744274,26.27722,26.476204,26.896484,26.296892,26.834303,25.876354,26.050274,25.899027,25.507172,24.869892,26.374754,25.974138,26.63919,25.182661,26.221703,25.994091,25.837112,24.845148,25.833836,25.811527,25.724297,25.51665
CRMP1,23.898863,24.273455,26.111912,25.257961,24.589138,24.036417,23.960373,23.60089,24.106882,23.808836,24.179373,25.789968,24.699873,24.618689,25.25422,22.160446,25.117964,24.198336,24.220568,21.839418,25.106558,24.592123,25.05263,24.265554,24.185131,25.415184,25.135233,25.807394
CRYAB,25.342102,26.88185,28.895365,28.025206,28.727594,25.129,26.636486,27.451834,25.243158,26.518892,28.123104,28.063282,25.533642,27.217634,30.377722,28.302275,28.587843,28.175627,27.8797,28.652353,25.330263,28.24518,27.611767,26.45219,24.59401,29.388502,26.655512,26.816284
PRDX1,27.996212,28.951172,28.56301,28.761147,28.777596,28.65254,29.075579,28.204275,28.656643,28.836756,29.00611,27.89038,28.391705,28.62761,27.824492,28.46068,28.089785,28.255129,28.464468,28.016464,27.843468,27.426762,27.879898,28.920042,28.044386,27.826689,28.200504,27.783451
HSPA2,23.451244,23.44258,23.31195,24.529726,24.520645,23.131214,24.092514,23.734907,22.741058,23.769562,23.741209,22.296846,22.525759,23.139978,22.76747,25.157175,23.154531,22.92809,23.18869,20.684933,24.37146,23.861639,24.207249,25.164043,22.946579,24.6858,23.820448,24.274078
LDHB,27.326,27.88836,28.10335,27.866554,28.17185,27.25666,28.108303,27.254536,27.41012,27.838173,27.93264,27.906237,27.82659,28.25323,27.588205,27.269814,28.071613,28.734537,28.084276,27.737865,28.265879,26.82262,27.883238,28.081547,28.714441,28.132845,27.677887,28.108816
HIST1H2BD,21.278389,21.28302,19.987549,23.36597,23.598627,19.375189,16.054602,18.02217,19.620686,19.760838,17.829357,16.081821,16.41129,19.242641,20.10553,17.81025,19.67621,19.601,20.30888,19.830223,19.894444,16.637856,19.693323,19.289211,19.375055,19.659014,19.754103,19.800438
FSCN1,25.859993,26.396824,27.408722,26.696499,28.41519,25.919409,26.877598,28.116669,26.696268,26.999498,28.898932,26.897509,26.021854,26.62469,26.877306,22.573545,27.039474,26.441702,28.368164,24.632221,28.615797,27.167027,27.355795,26.590725,26.121965,27.938255,27.899637,27.52408
NEFL,25.087982,22.690268,21.043962,20.54879,19.836815,21.47641,21.047577,20.411816,21.473427,21.241323,20.48032,22.341902,22.934782,19.208826,27.49923,19.716059,27.447111,22.959383,19.953026,20.432732,21.85219,27.689129,27.907326,26.653461,23.725119,28.430775,25.49526,28.094963
ALDH1L1,25.086323,26.555483,25.92,21.315699,26.113352,26.128178,21.238651,25.890692,26.933018,21.870737,26.294348,22.911322,26.58025,21.70362,23.64858,24.181765,23.596285,24.31085,26.391838,23.703026,23.493755,23.600336,23.095602,24.690882,25.315653,22.892614,23.258497,24.326586
VCAN,25.373491,26.528694,26.760344,27.834858,21.957129,26.344803,27.242702,21.673843,24.907774,27.065546,22.533365,26.2193,25.810902,27.307873,28.132761,27.570751,24.520063,24.768179,22.029821,23.060999,25.197138,25.4955,25.807928,26.90196,23.24721,27.00206,25.124592,25.976427
CKAP4,25.441595,25.1079,25.407001,26.188667,26.376839,24.84519,26.0275,26.385742,25.771275,26.321121,26.291557,24.996645,25.131311,25.801075,24.79139,22.457167,25.426043,26.034552,26.104746,25.081223,26.177008,26.058794,25.065166,24.439808,24.64244,24.240034,25.85206,24.723898
EIF4A1,26.131382,26.084206,26.924397,26.838917,26.986792,25.616108,26.498196,26.499008,26.065538,26.354134,26.570642,26.654032,25.957214,26.419312,25.922178,24.104296,26.766472,26.329765,26.887882,25.104565,27.03785,25.999807,26.496681,25.721897,26.166155,26.064917,26.914785,25.909258
CTNNB1,23.79596,24.764359,24.80919,25.97557,25.803381,24.539951,25.460625,25.116783,25.041914,25.039034,25.266232,24.738644,24.882341,25.527697,23.966866,24.34465,24.127571,23.792356,25.632742,22.62685,25.075083,24.75432,25.047388,24.93673,24.65829,24.638002,24.54833,25.012915
PPP2R1A,24.870855,25.772297,26.457258,26.347265,26.155674,25.248617,25.701925,25.519503,25.97304,25.546623,26.07316,25.731646,25.30834,25.873034,24.797806,24.332035,25.588745,25.109564,25.88406,24.713993,26.350494,25.480907,25.872948,25.491627,25.537624,26.242659,26.075775,26.48625
PPIA,28.39942,28.353205,28.910929,29.19769,29.1755,27.75609,28.552677,28.422693,28.04314,28.142843,28.38467,27.694195,27.847565,28.373726,26.87202,26.146236,27.329582,28.280348,28.246155,26.945074,28.59166,26.883638,27.666718,27.756487,27.80125,27.705576,27.830614,27.802387
EEF1A2,21.67055,23.330652,24.588995,16.846907,23.030672,20.456667,18.132189,22.083841,17.76622,17.115776,21.92439,24.499075,18.669117,18.4905,21.819302,15.99692,21.77222,21.627909,22.721487,19.867163,22.960917,21.1876,23.352919,21.327045,19.883371,23.260603,22.8291,24.08083
HADHA,25.112291,24.18845,24.646646,23.811373,25.403027,23.970945,24.230837,25.034248,24.851515,24.083302,25.132162,25.169476,24.786995,24.452805,24.793756,24.002512,25.16556,25.601097,25.657766,24.489985,24.30918,24.335175,24.29263,23.592453,24.439123,24.032217,25.293503,23.127453
HNRNPH1,26.284351,26.129526,26.543163,27.312407,27.175451,25.759459,27.139917,26.147448,25.920662,26.713642,25.77702,26.710405,26.21398,27.406864,25.937761,23.385782,26.167425,25.754572,27.053331,24.947891,26.936802,25.80661,25.634312,24.933126,25.413862,25.505638,26.526691,25.169914
HIST1H2BK,30.377876,29.382103,28.595827,30.50436,29.799,28.60204,29.90973,28.55127,28.740679,29.010788,28.342257,28.19623,28.263798,28.704216,27.83898,26.540123,27.979359,28.490065,28.610882,27.971073,28.570997,28.154081,27.777948,26.609537,27.413227,27.218487,28.895138,28.456656
KRT79,21.910114,17.726025,19.663847,19.971128,19.449385,19.550636,18.52385,27.398363,19.241568,19.887413,18.79541,20.375374,20.93797,19.661537,20.252846,20.277502,20.321705,22.176426,20.95395,23.297075,21.460352,18.649494,21.292812,18.731731,20.825155,19.076982,19.867178,21.069042
SFPQ,27.835155,26.809837,27.301973,27.68269,27.804924,25.255846,26.46882,26.084295,26.397799,26.76994,26.345692,26.012407,25.72504,26.550907,25.459206,23.578459,25.768005,25.040165,26.30226,24.135853,27.592928,26.930943,26.655277,25.868559,25.861311,26.139462,27.367199,26.106945
AKAP12,23.064117,25.3796,23.664032,23.047468,23.705114,24.430851,23.55033,22.852987,24.336508,23.11262,23.966957,23.302288,23.88128,22.258886,23.814644,23.192991,23.588467,25.283455,23.158594,23.84782,24.529352,25.973879,25.668903,25.99314,22.680883,25.052261,25.223179,25.639305
NSF,24.90555,24.151419,24.337877,24.394371,24.543282,23.819336,24.305243,24.251995,24.062962,23.929594,24.592773,25.065584,24.522547,24.691153,25.25498,22.736078,26.357914,23.525473,25.007856,21.718588,25.220669,25.070587,26.661182,25.40606,25.039509,27.269125,25.785664,28.108953
